text,language
Мой отец любит ездить на велосипеде,ru
The rain is gently falling on the rooftops,en
Моя семья любит отдыхать на море,ru
Я люблю слушать музыку на радио,ru
The clouds are moving quickly,en
Моя сестра любит готовить здоровую еду,ru
Insanlar meydana gitmek için hazırlanıyor,tr
У меня большая семья,ru
Я люблю рисовать портреты,ru
Моя сестра любит путешествовать,ru
Arkadaşlar sağlık için spor yapıyor,tr
Hobi'mde çok başarılıyım,tr
The ocean is vast,en
Мы любим гулять по лесу,ru
The sun is setting,en
The rain is falling,en
Aile birlikte yürüyüşe gitti,tr
Моя сестра увлекается рисованием,ru
Мы любим путешествовать на машине,ru
School is modern,en
Arkadaşlar sağlığı için sağlıklı yemek yiyor,tr
Мои родители любят кататься на велосипедах,ru
The river is flowing,en
The snow is melting in the sun,en
Я люблю фотографировать животных,ru
Мой брат увлекается сборкой моделей,ru
Otobüs şehirden çıkıyor,tr
The moon is shining,en
Мои дети любят кататься на велосипедах,ru
The stars are shining,en
The sun is shining brightly in the sky,en
Erkekler çay içiyor,tr
Aile birlikte pikniğe gidiyor,tr
The hiking trail was challenging but rewarding,en
Мой ребенок любит играть с автомобилями,ru
The basketball team won the championship,en
Моя мама любит читать книги,ru
Aile birlikte pikniğe gitti,tr
Моя семья любит путешествовать на самолете,ru
Мой друг увлекается коллекционированием марок,ru
Köpekler parkta yürüyor,tr
The bees are buzzing,en
Arkadaşlar masada kart oynuyor,tr
Моя сестра любит слушать поп-музыку,ru
The clouds are moving quickly across the sky,en
Arkadaşlar birlikte yolculuk ediyor,tr
The wind is blowing,en
Мы любим ездить на поезде,ru
Моя бабушка любит вязать,ru
The flowers are blooming in the garden,en
The flowers are blooming,en
The wind is blowing the leaves off the trees,en
Мой друг любит путешествовать автостопом,ru
Мой друг умеет готовить пасту,ru
Kızım bisikletle dolaşıyor,tr
Otobüs şehire gidiyor,tr
У меня есть друг который увлекается рыбалкой,ru
The birds are singing,en
The running club meets every Saturday morning,en
Kızım çiçekleri suluyor,tr
Çocuklar okulda oynuyor,tr
The artist painted a portrait using oil paints,en
The snow is melting,en
Я люблю кататься на коньках летом,ru
Kediler kapıda oturuyor,tr
Моя семья любит отдыхать на природе,ru
Hobi'mde yeni bir şeyler öğreniyorum,tr
Я люблю слушать музыку на виниле,ru
The leaves are rustling,en
Çocuklar ağaçların altında oynuyor,tr
Мой отец любит читать газеты,ru
The flowers are blooming beautifully in the garden,en
Мой брат умеет танцевать,ru
The sun is rising,en
Я люблю кататься на коньках зимой,ru
Мой брат любит кататься на мотоцикле,ru
Мои родители любят природу,ru
Мой брат увлекается фотографией,ru
Мой брат умеет водить машину,ru
Я люблю рисовать пейзажи,ru
Мой друг умеет говорить по-русски,ru
The leaves are rustling in the breeze,en
The birds are singing in the trees,en
The sun is setting behind the mountains,en
Arkadaşlar masada oyun oynuyor,tr
The bees are buzzing around the flowers,en
Nature is beautiful,en
Моя дочь любит рисовать,ru
Моя сестра любит готовить вегетарианскую еду,ru
The basketball team practices every day,en
Мой друг увлекается фотографией,ru
Мой брат умеет играть на гитаре,ru
Моя сестра любит слушать классическую музыку,ru
Kediler kapıda bekliyor,tr
Мои дедушка и бабушка любят путешествовать,ru
The artist created a sculpture using recycled materials,en
Мой ребенок любит играть с конструктором,ru
Aile bizim önemli,tr
Моя сестра любит ездить на коньках,ru
Моя жена любит читать журналы,ru
Köpekler parkta koşuyor,tr
Мой муж любит кататься на лыжах,ru
Erkekler futbol oynuyor,tr
У меня есть друг который увлекается шахматами,ru
Я люблю фотографировать природу,ru
Erkekler kahve içiyor,tr
